Location,Industry,Edition,Category,Subcategory,Hierarchy_Level,Data_Type,Outlet,Outlet_Hierarchy,Unit,Year_text,Year_date,Volume
6,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2011,31/12/2011,"0,00003273"
6,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2012,31/12/2012,"0,00003377"
6,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2013,31/12/2013,"0,00003594"
6,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2014,31/12/2014,"0,00003851"
6,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2015,31/12/2015,"0,00004200"
6,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2016,31/12/2016,"0,00004297"
6,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2017,31/12/2017,"0,00004339"
6,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2018,31/12/2018,"0,00004395"
6,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2019,31/12/2019,"0,00004387"
6,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2020,31/12/2020,"0,00004492"
6,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2021,31/12/2021,"0,00004734"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2007,31/12/2007,"0,00000275"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2008,31/12/2008,"0,00000276"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2009,31/12/2009,"0,00000288"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2010,31/12/2010,"0,00000312"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2011,31/12/2011,"0,00000344"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2012,31/12/2012,"0,00000344"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2013,31/12/2013,"0,00000341"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2014,31/12/2014,"0,00000325"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2015,31/12/2015,"0,00000317"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2016,31/12/2016,"0,00000313"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2017,31/12/2017,"0,00000317"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2018,31/12/2018,"0,00000327"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2019,31/12/2019,"0,00000330"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2020,31/12/2020,"0,00000337"
7,Alcoholic Drinks,2022,Spirits,Spirits,1,Off-trade Volume,Mixed Retailers,2,million litres,2021,31/12/2021,"0,00000349"
1,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Mixed Retailers,2,million litres,2007,31/12/2007,"231,54076410"
